codigo_municipio_ibge,municipio,uf,nota_media_enem,numero_participantes
1100254,Presidente Médici,RO,506.4,392
1100288,Rolim de Moura,RO,501.94,1522
1101492,São Francisco do Guaporé,RO,489.81,248
1100320,São Miguel do Guaporé,RO,486.17,386
1100304,Vilhena,RO,516.46,1917
1400050,Alto Alegre,RR,451.03,139
1400027,Amajari,RR,441.36,28
1400100,Boa Vista,RR,509.29,7927
1400159,Bonfim,RR,455.03,68
1400209,Caracaraí,RR,466.8,200
1400308,Mucajaí,RR,455.84,185
1400456,Pacaraima,RR,464.21,57
1400472,Rorainópolis,RR,481.89,271
1400506,São João da Baliza,RR,455.31,224
1400704,Uiramutã,RR,412.15,48
4300406,Alegrete,RS,524.78,1139
4300604,Alvorada,RS,512.38,2061
4301305,Arroio Grande,RS,506.45,280
4301008,Arroio do Meio,RS,587.74,155
4301602,Bagé,RS,518.01,1833
4302105,Bento Gonçalves,RS,576.89,1130
4302709,Butiá,RS,508.45,226
4303004,Cachoeira do Sul,RS,539.14,1187
4303103,Cachoeirinha,RS,534.33,1865
4303509,Camaquã,RS,523.08,1439
4303905,Campo Bom,RS,543.15,629
4304408,Canela,RS,545.18,799
4304507,Canguçu,RS,532.4,650
4304606,Canoas,RS,544.18,4886
4304630,Capão da Canoa,RS,530.75,936
4304663,Capão do Leão,RS,495.08,312
4304705,Carazinho,RS,550.45,1037
4304804,Carlos Barbosa,RS,568.31,426
4305108,Caxias do Sul,RS,562.11,5022
4302808,Caçapava do Sul,RS,517.22,584
4305207,Cerro Largo,RS,542.18,765
4305355,Charqueadas,RS,534.14,481
4306106,Cruz Alta,RS,539.18,881
4306403,Dois Irmãos,RS,554.08,406
4306601,Dom Pedrito,RS,500.8,361
4306767,Eldorado do Sul,RS,503.25,361
4306809,Encantado,RS,568.92,492
4306908,Encruzilhada do Sul,RS,503.51,248
4307005,Erechim,RS,550.87,2024
4307500,Espumoso,RS,550.61,649
4307708,Esteio,RS,535.2,954
4307807,Estrela,RS,566.7,326
4307609,Estância Velha,RS,554.03,602
4307906,Farroupilha,RS,563.01,773
4308508,Frederico Westphalen,RS,538.52,1621
4308607,Garibaldi,RS,571.47,329
4308904,Getúlio Vargas,RS,532.54,321
4309001,Giruá,RS,508.28,234
4309209,Gravataí,RS,540.77,2872
4309407,Guaporé,RS,549.88,441
4309308,Guaíba,RS,525.15,1356
4309605,Horizontina,RS,562.58,300
4310108,Igrejinha,RS,553.08,489
4310207,Ijuí,RS,562.05,1728
4310330,Imbé,RS,535.83,316
4310603,Itaqui,RS,503.23,451
4310801,Ivoti,RS,578.63,304
4311007,Jaguarão,RS,521.09,315
4311205,Júlio de Castilhos,RS,527.19,646
4311304,Lagoa Vermelha,RS,542.43,537
4311403,Lajeado,RS,586.87,1088
4311700,Machadinho,RS,533.74,342
4311809,Marau,RS,546.74,856
4312401,Montenegro,RS,552.78,1092
4312500,Mostardas,RS,490.82,177
4313201,Nova Petrópolis,RS,571.27,384
4313300,Nova Prata,RS,555.66,570
4313409,Novo Hamburgo,RS,559.87,2096
4313508,Osório,RS,549.25,852
4313706,Palmeira das Missões,RS,518.41,747
4313904,Panambi,RS,545.28,701
4314050,Parobé,RS,535.18,488
4314100,Passo Fundo,RS,560.03,2950
4314407,Pelotas,RS,537.88,6985
4314506,Pinheiro Machado,RS,499.42,155
4314605,Piratini,RS,502.1,209
4314902,Porto Alegre,RS,568.58,21256
4315305,Quaraí,RS,514.03,241
4315602,Rio Grande,RS,524.2,4340
4315701,Rio Pardo,RS,520.06,387
4316402,Rosário do Sul,RS,513.72,341
4317103,Sant'Ana do Livramento,RS,526.54,999
4316808,Santa Cruz do Sul,RS,569.92,2178
4316907,Santa Maria,RS,563.95,7066
4317202,Santa Rosa,RS,562.76,1636
4317301,Santa Vitória do Palmar,RS,512.65,402
4317400,Santiago,RS,531.31,1047
4317608,Santo Antônio da Patrulha,RS,531.56,386
4317509,Santo Ângelo,RS,546.64,1382
4319901,Sapiranga,RS,534.95,1010
4320008,Sapucaia do Sul,RS,527.58,1378
4320107,Sarandi,RS,536.64,929
4320701,Sobradinho,RS,539.37,718
4320800,Soledade,RS,526.86,678
4318002,São Borja,RS,508.34,885
4318309,São Gabriel,RS,531.52,647
4318408,São Jerônimo,RS,517.46,433
4318507,São José do Norte,RS,508.61,296
4318705,São Leopoldo,RS,551.9,2382
4318804,São Lourenço do Sul,RS,527.37,505
4318903,São Luiz Gonzaga,RS,520.99,793
4319000,São Marcos,RS,559.56,205
4319604,São Sepé,RS,529.07,337
4319802,São Vicente do Sul,RS,532.86,690
4320909,Tapejara,RS,539.82,516
4321204,Taquara,RS,553.49,862
4321303,Taquari,RS,538.6,285
4321451,Teutônia,RS,568.04,418
4321501,Torres,RS,535.35,1049
4321600,Tramandaí,RS,524.52,747
4321907,Três Passos,RS,541.89,1003
4321808,Três de Maio,RS,555.19,571
4322400,Uruguaiana,RS,521.39,1979
4322509,Vacaria,RS,536.99,715
4322608,Venâncio Aires,RS,564.94,633
4322806,Veranópolis,RS,598.04,366
4323002,Viamão,RS,525.45,2384
4201406,Araranguá,SC,540.62,1465
4202008,Balneário Camboriú,SC,554.88,1746
4202305,Biguaçu,SC,536.49,1459
4202404,Blumenau,SC,559.06,3362
4202800,Braço do Norte,SC,543.74,613
4202909,Brusque,SC,550.07,1340
4203204,Camboriú,SC,527.61,795
4203600,Campos Novos,SC,528.87,398
4203808,Canoinhas,SC,531.12,962
4203006,Caçador,SC,527.45,628
4204202,Chapecó,SC,552.16,3400
4204301,Concórdia,SC,555.27,1240
4204608,Criciúma,SC,559.97,3572
4204806,Curitibanos,SC,527.32,702
4205001,Dionísio Cerqueira,SC,528.53,398
4205407,Florianópolis,SC,569.95,9956
4205506,Fraiburgo,SC,558.66,340
4205704,Garopaba,SC,540.84,571
4206504,Guaramirim,SC,542.0,376
4207304,Imbituba,SC,537.19,723
4207502,Indaial,SC,545.16,516
4208203,Itajaí,SC,540.15,3026
4208302,Itapema,SC,543.49,1303
4208401,Itapiranga,SC,544.93,460
4208500,Ituporanga,SC,522.76,679
4207007,Içara,SC,528.34,519
4208906,Jaraguá do Sul,SC,567.27,2003
4209003,Joaçaba,SC,550.93,1182
4209102,Joinville,SC,558.65,7690
4209300,Lages,SC,536.99,2147
4209409,Laguna,SC,543.19,678
4210100,Mafra,SC,544.55,995
4210506,Maravilha,SC,543.34,973
4211306,Navegantes,SC,527.91,1291
4211702,Orleans,SC,535.98,402
4211900,Palhoça,SC,541.09,3768
4212106,Palmitos,SC,523.85,544
4213609,Porto União,SC,543.18,440
4214201,Quilombo,SC,505.45,208
4215000,Rio Negrinho,SC,544.56,422
4214805,Rio do Sul,SC,555.77,1508
4217501,Seara,SC,532.5,299
4217709,Sombrio,SC,537.18,805
4215802,São Bento do Sul,SC,560.67,1192
4216206,São Francisco do Sul,SC,528.31,610
4216503,São Joaquim,SC,519.54,280
4216602,São José,SC,555.54,4047
4216909,São Lourenço do Oeste,SC,527.48,489
4217204,São Miguel do Oeste,SC,545.7,1198
4217808,Taió,SC,518.04,402
4218004,Tijucas,SC,538.75,655
4218202,Timbó,SC,554.18,581
4218707,Tubarão,SC,546.93,2430
4219309,Videira,SC,549.45,738
4219507,Xanxerê,SC,534.89,1219
4219705,Xaxim,SC,543.06,338
2800308,Aracaju,SE,543.29,21654
2800506,Areia Branca,SE,487.69,315
2800670,Boquim,SE,502.55,1123
2801009,Campo do Brito,SE,506.17,938
2801207,Canindé de São Francisco,SE,492.2,1023
2801306,Capela,SE,476.92,826
2801405,Carira,SE,481.85,780
2801504,Carmópolis,SE,482.35,536
2802106,Estância,SE,511.95,1515
2802403,Gararu,SE,479.49,529
2802809,Indiaroba,SE,462.95,315
2802908,Itabaiana,SE,536.73,4181
2803005,Itabaianinha,SE,502.75,1089
2803203,Itaporanga d'Ajuda,SE,478.19,882
2803302,Japaratuba,SE,490.14,559
2803500,Lagarto,SE,521.51,3197
2803609,Laranjeiras,SE,489.87,476
2804003,Maruim,SE,480.49,517
2804201,Monte Alegre de Sergipe,SE,494.45,362
2804409,Neópolis,SE,457.29,1269
2804458,Nossa Senhora Aparecida,SE,489.61,481
2804508,Nossa Senhora da Glória,SE,506.23,1507
2804607,Nossa Senhora das Dores,SE,492.88,1032
2804805,Nossa Senhora do Socorro,SE,501.62,3660
2805604,Porto da Folha,SE,455.82,619
2805406,Poço Redondo,SE,464.95,697
2805505,Poço Verde,SE,505.1,902
2805703,Propriá,SE,485.69,2437
2805901,Riachuelo,SE,465.74,384
2807105,Simão Dias,SE,506.81,1144
2806701,São Cristóvão,SE,512.12,2535
2807402,Tobias Barreto,SE,508.16,1598
2807600,Umbaúba,SE,485.75,1091
3500105,Adamantina,SP,554.28,558
3500709,Agudos,SP,555.13,376
3501608,Americana,SP,577.64,2872
3501905,Amparo,SP,568.1,1225
3502101,Andradina,SP,535.57,1055
3502507,Aparecida,SP,535.02,439
3502705,Apiaí,SP,504.66,485
3503208,Araraquara,SP,567.97,3625
3503307,Araras,SP,565.2,1353
3502804,Araçatuba,SP,562.24,3384
3502903,Araçoiaba da Serra,SP,528.97,374
3503802,Artur Nogueira,SP,543.25,857
3503901,Arujá,SP,540.11,1512
3504008,Assis,SP,549.4,1834
3504107,Atibaia,SP,561.17,2451
3504206,Auriflama,SP,540.01,359
3504503,Avaré,SP,555.97,1316
3505302,Barra Bonita,SP,547.13,670
3505401,Barra do Turvo,SP,476.55,78
3505500,Barretos,SP,555.6,1626
3505609,Barrinha,SP,511.92,409
3505708,Barueri,SP,544.11,5856
3505906,Batatais,SP,547.49,1180
3506003,Bauru,SP,566.86,5490
3506102,Bebedouro,SP,561.47,1141
3506359,Bertioga,SP,513.46,764
3506508,Birigui,SP,554.46,1593
3507001,Boituva,SP,551.43,902
3507506,Botucatu,SP,570.29,2219
3507605,Bragança Paulista,SP,556.12,2523
3508405,Cabreúva,SP,533.87,492
3508603,Cachoeira Paulista,SP,541.47,425
3509007,Caieiras,SP,539.87,1705
3509205,Cajamar,SP,528.6,1143
3509254,Cajati,SP,524.36,323
3509403,Cajuru,SP,517.4,353
3509502,Campinas,SP,569.76,14587
3509601,Campo Limpo Paulista,SP,537.01,1121
3509700,Campos do Jordão,SP,538.38,685
3510401,Capivari,SP,544.54,669
3510203,Capão Bonito,SP,520.77,813
3510500,Caraguatatuba,SP,541.69,1755
3510609,Carapicuíba,SP,524.93,4107
3510807,Casa Branca,SP,552.52,328
3511102,Catanduva,SP,561.74,2197
3508504,Caçapava,SP,556.44,1128
3511409,Cerqueira César,SP,547.24,241
3511508,Cerquilho,SP,558.38,554
3512803,Cosmópolis,SP,538.18,626
3513009,Cotia,SP,545.8,3868
3513405,Cruzeiro,SP,553.29,1403
3513504,Cubatão,SP,530.6,1295
3510005,Cândido Mota,SP,547.87,284
3513801,Diadema,SP,534.31,5992
3514403,Dracena,SP,551.16,1091
3514809,Eldorado,SP,494.24,175
3515004,Embu das Artes,SP,521.92,3070
3515103,Embu-Guaçu,SP,528.7,975
3515186,Espírito Santo do Pinhal,SP,562.0,417
3515509,Fernandópolis,SP,561.91,1561
3515707,Ferraz de Vasconcelos,SP,526.04,2194
3516200,Franca,SP,559.72,4843
3516309,Francisco Morato,SP,515.2,1624
3516408,Franco da Rocha,SP,526.37,1599
3516705,Garça,SP,541.0,566
3518206,Guararapes,SP,551.44,438
3518404,Guaratinguetá,SP,567.62,1538
3518701,Guarujá,SP,525.69,3370
3518800,Guarulhos,SP,541.17,15886
3517406,Guaíra,SP,561.97,497
3519071,Hortolândia,SP,541.41,2714
3519303,Ibaté,SP,536.78,405
3519600,Ibitinga,SP,549.86,792
3519709,Ibiúna,SP,534.2,769
3520301,Iguape,SP,518.13,584
3520442,Ilha Solteira,SP,544.47,513
3520400,Ilhabela,SP,542.22,456
3520509,Indaiatuba,SP,569.83,3490
3522109,Itanhaém,SP,517.34,1376
3522208,Itapecerica da Serra,SP,527.86,2586
3522307,Itapetininga,SP,546.61,2285
3522406,Itapeva,SP,526.31,2158
3522505,Itapevi,SP,516.36,2495
3522604,Itapira,SP,560.78,826
3523107,Itaquaquecetuba,SP,516.23,3379
3523206,Itararé,SP,527.51,903
3523404,Itatiba,SP,570.31,1297
3521804,Itaí,SP,542.85,496
3523909,Itu,SP,561.48,1775
3524006,Itupeva,SP,554.76,684
3524105,Ituverava,SP,550.1,1185
3522703,Itápolis,SP,552.25,395
3524303,Jaboticabal,SP,547.85,1315
3524402,Jacareí,SP,557.05,3260
3524709,Jaguariúna,SP,563.75,1093
3524808,Jales,SP,552.71,984
3525003,Jandira,SP,529.77,1227
3525102,Jardinópolis,SP,551.88,480
3525300,Jaú,SP,567.66,3175
3525706,José Bonifácio,SP,546.02,676
3525904,Jundiaí,SP,578.29,6102
3526209,Juquitiba,SP,517.77,524
3526704,Leme,SP,557.46,1009
3526803,Lençóis Paulista,SP,558.18,921
3526902,Limeira,SP,563.52,3452
3527108,Lins,SP,542.31,1056
3527207,Lorena,SP,554.54,1122
3527306,Louveira,SP,552.08,429
3528403,Mairinque,SP,535.76,738
3528502,Mairiporã,SP,537.87,928
3529203,Martinópolis,SP,537.1,332
3529005,Marília,SP,566.85,3935
3529302,Matão,SP,550.23,840
3529401,Mauá,SP,538.93,4331
3529906,Miracatu,SP,497.54,356
3530102,Mirandópolis,SP,553.3,389
3530201,Mirante do Paranapanema,SP,516.4,233
3530300,Mirassol,SP,546.84,882
3530508,Mococa,SP,553.64,945
3530706,Mogi Guaçu,SP,564.42,1460
3530805,Mogi Mirim,SP,567.63,940
3530607,Mogi das Cruzes,SP,553.12,6520
3531100,Mongaguá,SP,518.98,758
3531308,Monte Alto,SP,555.82,593
3531407,Monte Aprazível,SP,542.35,610
3531803,Monte Mor,SP,524.54,655
3533403,Nova Odessa,SP,560.41,614
3533502,Novo Horizonte,SP,554.3,559
3533908,Olímpia,SP,550.39,872
3534302,Orlândia,SP,544.29,1091
3534401,Osasco,SP,550.95,10433
3534609,Osvaldo Cruz,SP,556.1,457
3534708,Ourinhos,SP,542.89,1593
3535507,Paraguaçu Paulista,SP,535.19,604
3536505,Paulínia,SP,567.65,1773
3536703,Pederneiras,SP,551.06,444
3537107,Pedreira,SP,546.11,367
3537305,Penápolis,SP,558.4,971
3537404,Pereira Barreto,SP,530.34,389
3537602,Peruíbe,SP,529.1,1153
3537800,Piedade,SP,544.06,628
3537909,Pilar do Sul,SP,546.99,312
3538006,Pindamonhangaba,SP,560.34,1785
3538709,Piracicaba,SP,568.4,6026
3538808,Piraju,SP,536.76,826
3538907,Pirajuí,SP,531.59,417
3539301,Pirassununga,SP,563.19,1429
3539509,Pitangueiras,SP,526.25,322
3540200,Pontal,SP,529.71,459
3540606,Porto Feliz,SP,546.86,461
3540705,Porto Ferreira,SP,571.3,1077
3539806,Poá,SP,534.49,1697
3541000,Praia Grande,SP,529.3,4186
3541307,Presidente Epitácio,SP,530.72,621
3541406,Presidente Prudente,SP,550.42,5311
3541505,Presidente Venceslau,SP,542.84,673
3541604,Promissão,SP,537.72,356
3542206,Rancharia,SP,527.75,494
3542602,Registro,SP,535.24,1328
3543303,Ribeirão Pires,SP,546.79,1493
3543402,Ribeirão Preto,SP,572.67,11695
3543907,Rio Claro,SP,564.35,2611
3544103,Rio Grande da Serra,SP,515.87,381
3544251,Rosana,SP,516.21,279
3545209,Salto,SP,558.85,1337
3545308,Salto de Pirapora,SP,528.07,449
3545803,Santa Bárbara d'Oeste,SP,557.65,1516
3546405,Santa Cruz do Rio Pardo,SP,553.79,685
3546603,Santa Fé do Sul,SP,547.24,422
3546801,Santa Isabel,SP,538.98,645
3547601,Santa Rosa de Viterbo,SP,536.64,463
3547304,Santana de Parnaíba,SP,555.14,2668
3547809,Santo André,SP,561.75,11054
3548500,Santos,SP,567.98,5944
3551504,Serrana,SP,532.35,602
3551702,Sertãozinho,SP,554.46,1953
3552106,Socorro,SP,551.89,487
3552205,Sorocaba,SP,558.46,9467
3552403,Sumaré,SP,541.4,2593
3552502,Suzano,SP,540.0,3949
3548708,São Bernardo do Campo,SP,560.76,11227
3548807,São Caetano do Sul,SP,578.4,4431
3548906,São Carlos,SP,577.16,5159
3549409,São Joaquim da Barra,SP,547.71,841
3549706,São José do Rio Pardo,SP,565.35,812
3549805,São José do Rio Preto,SP,569.66,8347
3549904,São José dos Campos,SP,582.85,11310
3549102,São João da Boa Vista,SP,577.23,1295
3550100,São Manuel,SP,546.17,542
3550209,São Miguel Arcanjo,SP,530.47,363
3550308,São Paulo,SP,556.45,147164
3550605,São Roque,SP,550.17,1231
3550704,São Sebastião,SP,518.14,1063
3551009,São Vicente,SP,521.76,2704
3552809,Taboão da Serra,SP,539.72,5255
3553609,Tapiratiba,SP,523.59,249
3553708,Taquaritinga,SP,553.37,488
3554003,Tatuí,SP,540.77,1408
3554102,Taubaté,SP,565.87,4015
3554300,Teodoro Sampaio,SP,522.9,348
3554508,Tietê,SP,555.57,616
3555000,Tupã,SP,554.86,1111
3555406,Ubatuba,SP,532.01,1017
3556206,Valinhos,SP,590.63,1817
3556453,Vargem Grande Paulista,SP,554.62,852
3556404,Vargem Grande do Sul,SP,569.28,359
3556701,Vinhedo,SP,583.95,1123
3557006,Votorantim,SP,545.73,1111
3557105,Votuporanga,SP,548.11,1807
3556503,Várzea Paulista,SP,530.51,771
1701002,Ananás,TO,477.8,249
1702158,Araguanã,TO,449.85,72
1702208,Araguatins,TO,480.2,954
1702109,Araguaína,TO,517.26,4355
1702307,Arapoema,TO,462.82,110
1702406,Arraias,TO,466.69,406
1702554,Augustinópolis,TO,491.43,830
1703701,Brejinho de Nazaré,TO,469.0,74
1705508,Colinas do Tocantins,TO,500.22,899
1706100,Cristalândia,TO,476.01,264
1707009,Dianópolis,TO,462.91,589
1707405,Esperantina,TO,485.86,140
1708205,Formoso do Araguaia,TO,474.56,290
1709302,Guaraí,TO,483.35,983
1709500,Gurupi,TO,525.13,1553
1710508,Itacajá,TO,454.54,200
1713205,Miracema do Tocantins,TO,477.92,709
1714203,Natividade,TO,468.77,176
1715101,Novo Acordo,TO,441.38,393
1721000,Palmas,TO,531.0,7755
1715754,Palmeirópolis,TO,478.28,411
1716109,Paraíso do Tocantins,TO,507.67,1082
1716505,Pedro Afonso,TO,475.03,396
1716604,Peixe,TO,468.45,137
1718204,Porto Nacional,TO,491.46,1441
1718865,Santa Fé do Araguaia,TO,461.5,277
1720804,Sítio Novo do Tocantins,TO,477.9,454
1720903,Taguatinga,TO,465.32,361
1721208,Tocantinópolis,TO,479.06,837
1722081,Wanderlândia,TO,459.25,202
1722107,Xambioá,TO,488.6,168
